ID,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEST,DISTANCE,CRS_DEP_TIME,LABEL,prediction
4/6/2022-OH-RIC-CLT-5475,2,4,6,3,OH,RIC,CLT,2.57,13.0,0.0,0.0
4/7/2022-OH-RIC-CLT-5475,2,4,7,4,OH,RIC,CLT,2.57,13.0,0.0,0.0
4/8/2022-OH-RIC-CLT-5475,2,4,8,5,OH,RIC,CLT,2.57,13.0,0.0,0.0
4/9/2022-OH-RIC-CLT-5475,2,4,9,6,OH,RIC,CLT,2.57,13.0,0.0,0.0
4/10/2022-OH-RIC-CLT-5475,2,4,10,7,OH,RIC,CLT,2.57,13.0,0.0,0.0
4/11/2022-OH-RIC-CLT-5475,2,4,11,1,OH,RIC,CLT,2.57,13.0,0.0,0.0
4/12/2022-OH-RIC-CLT-5475,2,4,12,2,OH,RIC,CLT,2.57,13.0,0.0,0.0
4/13/2022-OH-RIC-CLT-5475,2,4,13,3,OH,RIC,CLT,2.57,13.0,0.0,0.0
4/14/2022-OH-RIC-CLT-5475,2,4,14,4,OH,RIC,CLT,2.57,13.0,0.0,0.0
4/15/2022-OH-RIC-CLT-5475,2,4,15,5,OH,RIC,CLT,2.57,13.0,0.0,0.0
4/4/2022-OH-MHT-CLT-5474,2,4,4,1,OH,MHT,CLT,7.37,5.33,0.0,0.0
4/1/2022-OH-CLT-RIC-5475,2,4,1,5,OH,CLT,RIC,2.57,13.05,0.0,0.0
4/2/2022-OH-CLT-RIC-5475,2,4,2,6,OH,CLT,RIC,2.57,13.05,0.0,0.0
4/3/2022-OH-CLT-RIC-5475,2,4,3,7,OH,CLT,RIC,2.57,13.05,0.0,0.0
4/4/2022-OH-CLT-RIC-5475,2,4,4,1,OH,CLT,RIC,2.57,13.05,0.0,0.0
4/1/2022-OH-RIC-CLT-5475,2,4,1,5,OH,RIC,CLT,2.57,15.01,0.0,0.0
4/2/2022-OH-RIC-CLT-5475,2,4,2,6,OH,RIC,CLT,2.57,15.01,2.0,0.0
4/3/2022-OH-RIC-CLT-5475,2,4,3,7,OH,RIC,CLT,2.57,15.01,0.0,0.0
4/4/2022-OH-RIC-CLT-5475,2,4,4,1,OH,RIC,CLT,2.57,15.01,0.0,0.0
4/5/2022-OH-RIC-CLT-5475,2,4,5,2,OH,RIC,CLT,2.57,13.0,0.0,0.0
