RecordNumber	Zipcode	ZipCodeType	City	State	LocationType
1	704	STANDARD	PARC PARQUE	PR	NOT ACCEPTABLE
2	704	STANDARD	PASEO COSTA DEL SUR	PR	NOT ACCEPTABLE
10	709	STANDARD	BDA SAN LUIS	PR	NOT ACCEPTABLE
61391	76166	UNIQUE	CINGULAR WIRELESS	TX	NOT ACCEPTABLE
61392	76177	STANDARD	FORT WORTH	TX	PRIMARY
61393	76177	STANDARD	FT WORTH	TX	ACCEPTABLE
4	704	STANDARD	URB EUGENE RICE	PR	NOT ACCEPTABLE
39827	85209	STANDARD	MESA	AZ	PRIMARY
39828	85210	STANDARD	MESA	AZ	PRIMARY
49345	32046	STANDARD	HILLIARD	FL	PRIMARY
49346	34445	PO BOX	HOLDER	FL	PRIMARY
49347	32564	STANDARD	HOLT	FL	PRIMARY
49348	34487	PO BOX	HOMOSASSA	FL	PRIMARY
10	708	STANDARD	BDA SAN LUIS	PR	NOT ACCEPTABLE
3	704	STANDARD	SECT LANAUSSE	PR	NOT ACCEPTABLE
54354	36275	PO BOX	SPRING GARDEN	AL	PRIMARY
54355	35146	STANDARD	SPRINGVILLE	AL	PRIMARY
54356	35585	STANDARD	SPRUCE PINE	AL	PRIMARY
76511	27007	STANDARD	ASH HILL	NC	NOT ACCEPTABLE
76512	27203	STANDARD	ASHEBORO	NC	PRIMARY
76513	27204	PO BOX	ASHEBORO	NC	PRIMARY
